Author,variable,group_id,Layer,Temperature,mean,sd,n,se
Bracho,mgC/gC,AL_D1_25C_CtrlSoil,Active_Layer,25,249.7159091,81.41769884,6,33.23863636
Bracho,mgC/gC,AL_D1_25C_WarmSoil,Active_Layer,25,219.0340909,89.76823205,6,36.64772727
Bracho,mgC/gC,AL_D1_15C_CtrlSoil,Active_Layer,15,152.5568182,56.36609919,6,23.01136364
Bracho,mgC/gC,AL_D1_15C_WarmSoil,Active_Layer,15,122.7272727,52.19083259,6,21.30681818
Bracho,mgC/gC,AL_D2_15C_CtrlSoil,Active_Layer,15,46.875,16.70106643,6,6.818181818
Bracho,mgC/gC,AL_D2_15C_WarmSoil,Active_Layer,15,33.23863636,16.70106643,6,6.818181818
Bracho,mgC/gC,AL_D2_25C_CtrlSoil,Active_Layer,25,90.34090909,12.52579982,6,5.113636364
Bracho,mgC/gC,AL_D2_25C_WarmSoil,Active_Layer,25,84.375,43.84029937,6,17.89772727
Bracho,mgC/gC,PF_D3_15C_CtrlSoil,Permafrost,15,22.15909091,8.350533214,6,3.409090909
Bracho,mgC/gC,PF_D3_15C_WarmSoil,Permafrost,15,20.45454545,8.350533214,6,3.409090909
Bracho,mgC/gC,PF_D3_25C_CtrlSoil,Permafrost,25,46.875,18.78869973,6,7.670454545
Bracho,mgC/gC,PF_D3_25C_WarmSoil,Permafrost,25,52.84090909,14.61343312,6,5.965909091
Doherty,ug CO2 per g dry soil per h,AL_D1_15C,Active_Layer,15,2.603289474,1.428891663,4,0.714445831
Doherty,ug CO2 per g dry soil per h,AL_D1_4C,Active_Layer,4,1.338157895,1.026002399,4,0.5130012
Doherty,ug CO2 per g dry soil per h,AL_D2_15C,Active_Layer,15,2.115789474,1.855001585,4,0.927500793
Doherty,ug CO2 per g dry soil per h,AL_D2_4C,Active_Layer,4,0.898026316,0.924909902,4,0.462454951
Doherty,ug CO2 per g dry soil per h,PF_D4_15C,Permafrost,15,0.669078947,0.674391229,4,0.337195615
Doherty,ug CO2 per g dry soil per h,PF_D4_4C,Permafrost,4,0.335526316,0.312115909,4,0.156057955
Gentsch,mg CO2 per g soil C,AL_D3_TZ_5C,Active_Layer,5,31.03448276,22.39720872,3,12.93103448
Gentsch,mg CO2 per g soil C,AL_D3_TZ_15C,Active_Layer,15,75,26.87665046,3,15.51724138
Gentsch,mg CO2 per g soil C,AL_D3_AM_5C,Active_Layer,5,20.68965517,13.43832523,3,7.75862069
Gentsch,mg CO2 per g soil C,AL_D3_AM_15C,Active_Layer,15,54.31034483,13.43832523,3,7.75862069
Gentsch,mg CO2 per g soil C,AL_D3_LG_5C,Active_Layer,5,31.03448276,13.43832523,3,7.75862069
Gentsch,mg CO2 per g soil C,AL_D3_LG_15C,Active_Layer,15,69.82758621,13.43832523,3,7.75862069
Gentsch,mg CO2 per g soil C,AL_D3_CH_5C,Active_Layer,5,31.03448276,17.91776697,3,10.34482759
Gentsch,mg CO2 per g soil C,AL_D3_CH_15C,Active_Layer,15,62.06896552,31.35609221,3,18.10344828
Gentsch,mg CO2 per g soil C,AL_D4_TZ_5C,Active_Layer,5,20.68965517,17.91776697,3,10.34482759
Gentsch,mg CO2 per g soil C,AL_D4_TZ_15C,Active_Layer,15,43.96551724,26.87665046,3,15.51724138
Gentsch,mg CO2 per g soil C,AL_D4_AM_5C,Active_Layer,5,23.27586207,4.479441744,3,2.586206897
Gentsch,mg CO2 per g soil C,AL_D4_AM_15C,Active_Layer,15,43.96551724,17.91776697,3,10.34482759
Gentsch,mg CO2 per g soil C,AL_D4_LG_5C,Active_Layer,5,25.86206897,17.91776697,3,10.34482759
Gentsch,mg CO2 per g soil C,AL_D4_LG_15C,Active_Layer,15,51.72413793,22.39720872,3,12.93103448
Gentsch,mg CO2 per g soil C,AL_D4_CH_5C,Active_Layer,5,20.68965517,8.958883487,3,5.172413793
Gentsch,mg CO2 per g soil C,AL_D4_CH_15C,Active_Layer,15,39.788169,22.03688106,3,12.72299921
Gentsch,mg CO2 per g soil C,AL_D3_TZ_5C,Active_Layer,5,15.25423729,8.807038005,3,5.084745763
Gentsch,mg CO2 per g soil C,AL_D3_TZ_15C,Active_Layer,15,20.33898305,8.807038005,3,5.084745763
Gentsch,mg CO2 per g soil C,AL_D3_AM_5C,Active_Layer,5,12.71186441,13.21055701,3,7.627118644
