Article,Layer,Days,variable,group_id,mean,sd,n
Dutta,ActiveLayer,30,mg CO2 / g dry soil,AL_30d_5C,0.054545455,NA,12
Dutta,Permafrost,30,mg CO2 / g dry soil,PF_30d_5C,0.120909091,0.078743577,3
Dutta,ActiveLayer,55,mg CO2 / g dry soil,AL_55d_5C,0.08,NA,12
Dutta,Permafrost,55,mg CO2 / g dry soil,PF_55d_5C,0.172727273,0.12834183,3
Dutta,ActiveLayer,45,mg CO2 / g dry soil,AL_45d_5C,0.069090909,NA,12
Dutta,Permafrost,45,mg CO2 / g dry soil,PF_45d_5C,0.144545455,0.093106769,3
Dutta,ActiveLayer,70,mg CO2 / g dry soil,AL_70d_5C,0.083636364,NA,12
Dutta,Permafrost,70,mg CO2 / g dry soil,PF_70d_5C,0.19,0.143236882,3
Dutta,ActiveLayer,95,mg CO2 / g dry soil,AL_95d_5C,0.098181818,NA,12
Dutta,Permafrost,95,mg CO2 / g dry soil,PF_95d_5C,0.21,0.15926484,3
Dutta,ActiveLayer,30,mg CO2 / g dry soil,AL_30d_10C,0.100900901,NA,3
Dutta,ActiveLayer,45,mg CO2 / g dry soil,AL_45d_10C,0.108108108,NA,3
Dutta,ActiveLayer,70,mg CO2 / g dry soil,AL_70d_10C,0.12972973,NA,3
Dutta,ActiveLayer,95,mg CO2 / g dry soil,AL_95d_10C,0.133333333,NA,3
Dutta,ActiveLayer,55,mg CO2 / g dry soil,AL_55d_10C,0.126126126,NA,12
Dutta,Permafrost,30,mg CO2 / g dry soil,PF_30d_10C,0.17009009,0.068629493,12
Dutta,Permafrost,45,mg CO2 / g dry soil,PF_45d_10C,0.18954955,0.077690886,12
Dutta,Permafrost,55,mg CO2 / g dry soil,PF_55d_10C,0.21981982,0.094108576,12
Dutta,Permafrost,70,mg CO2 / g dry soil,PF_70d_10C,0.227747748,0.102478022,12
Dutta,Permafrost,95,mg CO2 / g dry soil,PF_95d_10C,0.257297297,0.127828917,3
Dutta,ActiveLayer,30,mg CO2 / g dry soil,AL_30d_15C,0.122472681,NA,3
Dutta,ActiveLayer,60,mg CO2 / g dry soil,AL_60d_15C,0.205958597,NA,3
Dutta,ActiveLayer,40,mg CO2 / g dry soil,AL_40_15C,0.141483208,NA,3
Dutta,ActiveLayer,50,mg CO2 / g dry soil,AL_50d_15C,0.170138936,NA,3
Dutta,ActiveLayer,85,mg CO2 / g dry soil,AL_85d_15C,0.245360225,NA,3
Dutta,Permafrost,30,mg CO2 / g dry soil,PF_30d_15C,0.262374564,0.166766715,12
Dutta,Permafrost,40,mg CO2 / g dry soil,PF_40d_15C,0.297298733,0.191883309,12
Dutta,Permafrost,50,mg CO2 / g dry soil,PF_50d_15C,0.281179886,0.203952004,15
