Rowname,Author,Year,Site_Description,Soil_Description,Vegetation,Thaw_Age,Thaw_Feature,Depth,Compound,Oxygen,Temperature_C,Time_d,Replicate,Cumulative_mgC_per_gSoil,Moisture,Rate_mgC_per_gSoil_day,Data_Source,Sample_Num
Waldrop_2021_PeatPlateau_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,PeatPlateau,,Peat,,,ActiveLayer,CH4,Anaerobic,5,180,R1,0.770064,Wet,0.004278133,Table,1
Waldrop_2021_YoungBog_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,YoungBog,,,Young,Bog,ActiveLayer,CH4,Anaerobic,5,180,R1,2.743353,Wet,0.01524085,Table,2
Waldrop_2021_IntermediateBog_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,IntermediateBog,,,Intermediate,Bog,ActiveLayer,CH4,Anaerobic,5,180,R1,1.106967,Wet,0.006149817,Table,3
Waldrop_2021_OldBog_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,OldBog,,,Old,Bog,ActiveLayer,CH4,Anaerobic,5,180,R1,1.171139,Wet,0.006506328,Table,4
Waldrop_2021_Sphagnic_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,Sphagnic,,Sphagnum,,,ActiveLayer,CH4,Anaerobic,5,180,R1,2.56688,Wet,0.014260444,Table,5
Waldrop_2021_Fen_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,Fen,,,,Fen,ActiveLayer,CH4,Anaerobic,5,180,R1,2.823568,Wet,0.015686489,Table,6
Waldrop_2021_Basal_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,Basal,,,,,ActiveLayer,CH4,Anaerobic,5,180,R1,1.106967,Wet,0.006149817,Table,7
Waldrop_2021_Mineral_CH4_Anaerobic_5C_D180_R1,Waldrop,2021,Mineral,Mineral,,,,ActiveLayer,CH4,Anaerobic,5,180,R1,0.224602,Wet,0.001247789,Table,8
Waldrop_2021_PeatPlateau_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,PeatPlateau,,Peat,,,ActiveLayer,CO2,Anaerobic,5,180,R1,9.41814,Wet,0.052323,Table,9
Waldrop_2021_YoungBog_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,YoungBog,,,Young,,ActiveLayer,CO2,Anaerobic,5,180,R1,13.99518,Wet,0.077751,Table,10
Waldrop_2021_IntermediateBog_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,IntermediateBog,,,Intermediate,,ActiveLayer,CO2,Anaerobic,5,180,R1,7.30566,Wet,0.040587,Table,11
Waldrop_2021_OldBog_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,OldBog,,,Old,,ActiveLayer,CO2,Anaerobic,5,180,R1,9.99027,Wet,0.0555015,Table,12
Waldrop_2021_Sphagnic_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,Sphagnic,,Sphagnum,,,ActiveLayer,CO2,Anaerobic,5,180,R1,15.31548,Wet,0.085086,Table,13
Waldrop_2021_Fen_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,Fen,,,,Fen,ActiveLayer,CO2,Anaerobic,5,180,R1,15.97563,Wet,0.0887535,Table,14
Waldrop_2021_Basal_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,Basal,,,,,ActiveLayer,CO2,Anaerobic,5,180,R1,5.89734,Wet,0.032763,Table,15
Waldrop_2021_Mineral_CO2_Anaerobic_5C_D180_R1,Waldrop,2021,Mineral,Mineral,,,,ActiveLayer,CO2,Anaerobic,5,180,R1,4.57704,Wet,0.025428,Table,16
Waldrop_2021_PeatPlateau_CO2_Aerobic_5C_D180_R1,Waldrop,2021,PeatPlateau,,,,,ActiveLayer,CO2,Aerobic,5,180,R1,36.57231,Wet,0.2031795,Table,17
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D2_R1,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,2,R1,0.01769713,Dry,0.008848565,Raw,1
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D2_R2,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,2,R2,0.01513861,Dry,0.007569305,Raw,2
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D2_R3,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,2,R3,0.01687124,Dry,0.00843562,Raw,3
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D15_R4,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,15,R4,0.01090749,Dry,0.000727166,Raw,4
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D15_R5,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,15,R5,0.0112467,Dry,0.00074978,Raw,5
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D15_R6,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,15,R6,0.01024906,Dry,0.000683271,Raw,6
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D30_R1,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,30,R1,0.00543646,Dry,0.000181215,Raw,7
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D30_R2,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,30,R2,0.00586817,Dry,0.000195606,Raw,8
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D30_R3,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,30,R3,0.0086338,Dry,0.000287793,Raw,9
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D71_R4,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,71,R4,0.00360468,Dry,5.08E-05,Raw,10
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D71_R5,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,71,R5,0.00356643,Dry,5.02E-05,Raw,11
